"Label (Grouping)","Population 5 years and over","Population 5 years and over!!Speak only English","Population 5 years and over!!Speak a language other than English","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Spanish","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Spanish!!5 to 17 years old","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Spanish!!18 to 64 years old","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Spanish!!65 years old and over","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other Indo-European languages","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other Indo-European languages!!5 to 17 years old","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other Indo-European languages!!18 to 64 years old","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other Indo-European languages!!65 years old and over","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Asian and Pacific Island languages","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Asian and Pacific Island languages!!5 to 17 years old","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Asian and Pacific Island languages!!18 to 64 years old","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Asian and Pacific Island languages!!65 years old and over","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other languages","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other languages!!5 to 17 years old","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other languages!!18 to 64 years old","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other languages!!65 years old and over","CITIZENS 18 YEARS AND OVER","CITIZENS 18 YEARS AND OVER!!All citizens 18 years old and over","CITIZENS 18 YEARS AND OVER!!All citizens 18 years old and over!!Speak only English","CITIZENS 18 YEARS AND OVER!!All citizens 18 years old and over!!Speak a language other than English","CITIZENS 18 YEARS AND OVER!!All citizens 18 years old and over!!Speak a language other than English!!Spanish","CITIZENS 18 YEARS AND OVER!!All citizens 18 years old and over!!Speak a language other than English!!Other languages"
"ZCTA5 78746","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","26,558","22,095","4,463","","2,294","484","1,558","252","1,252","344","765","143","847","234","573","40","70","0","70","0","","19,807","17,240","2,567","1,383","1,184"
"        Margin of Error","±1,007","±969","±626","","±525","±208","±355","±103","±388","±145","±267","±78","±278","±97","±195","±32","±83","±26","±83","±26","","±820","±826","±325","±242","±295"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","83.2%","16.8%","","8.6%","1.8%","5.9%","0.9%","4.7%","1.3%","2.9%","0.5%","3.2%","0.9%","2.2%","0.2%","0.3%","0.0%","0.3%","0.0%","","(X)","87.0%","13.0%","7.0%","6.0%"
"        Margin of Error","(X)","±2.2","±2.2","","±1.9","±0.8","±1.3","±0.4","±1.4","±0.5","±1.0","±0.3","±1.1","±0.4","±0.8","±0.1","±0.3","±0.2","±0.3","±0.2","","(X)","±1.6","±1.6","±1.2","±1.5"
"    Percent of specified language speakers","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","25,976","(X)","3,881","","1,948","431","1,304","213","1,127","295","689","143","736","234","474","28","70","0","70","0","","19,540","(X)","2,300","1,201","1,099"
"            Margin of Error","±1,015","(X)","±591","","±485","±197","±317","±98","±369","±131","±254","±78","±250","±97","±180","±26","±83","±26","±83","±26","","±828","(X)","±321","±225","±300"
"        Percent speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","97.8%","(X)","87.0%","","84.9%","89.0%","83.7%","84.5%","90.0%","85.8%","90.1%","100.0%","86.9%","100.0%","82.7%","70.0%","100.0%","-","100.0%","-","","98.7%","(X)","89.6%","86.8%","92.8%"
"            Margin of Error","±0.6","(X)","±3.4","","±4.8","±8.8","±5.3","±14.8","±7.0","±14.5","±9.3","±26.5","±6.5","±17.4","±10.0","±40.1","±41.7","**","±41.7","**","","±0.5","(X)","±3.6","±5.5","±5.2"
"        Speak English  less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","582","(X)","582","","346","53","254","39","125","49","76","0","111","0","99","12","0","0","0","0","","267","(X)","267","182","85"
"            Margin of Error","±157","(X)","±157","","±117","±44","±97","±38","±91","±54","±73","±26","±64","±26","±60","±19","±26","±26","±26","±26","","±93","(X)","±93","±82","±57"
"        Percent speak English less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","2.2%","(X)","13.0%","","15.1%","11.0%","16.3%","15.5%","10.0%","14.2%","9.9%","0.0%","13.1%","0.0%","17.3%","30.0%","0.0%","-","0.0%","-","","1.3%","(X)","10.4%","13.2%","7.2%"
"            Margin of Error","±0.6","(X)","±3.4","","±4.8","±8.8","±5.3","±14.8","±7.0","±14.5","±9.3","±26.5","±6.5","±17.4","±10.0","±40.1","±41.7","**","±41.7","**","","±0.5","(X)","±3.6","±5.5","±5.2"
"ZCTA5 78747","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","18,961","10,840","8,121","","7,015","1,274","5,071","670","303","0","233","70","550","96","358","96","253","0","253","0","","13,272","8,483","4,789","4,213","576"
"        Margin of Error","±1,124","±1,156","±982","","±850","±459","±678","±186","±169","±26","±158","±53","±294","±89","±194","±86","±318","±26","±318","±26","","±1,076","±1,112","±611","±580","±215"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","57.2%","42.8%","","37.0%","6.7%","26.7%","3.5%","1.6%","0.0%","1.2%","0.4%","2.9%","0.5%","1.9%","0.5%","1.3%","0.0%","1.3%","0.0%","","(X)","63.9%","36.1%","31.7%","4.3%"
"        Margin of Error","(X)","±4.8","±4.8","","±4.4","±2.3","±3.7","±1.0","±0.9","±0.2","±0.8","±0.3","±1.5","±0.5","±1.0","±0.4","±1.7","±0.2","±1.7","±0.2","","(X)","±4.9","±4.9","±4.8","±1.6"
"    Percent of specified language speakers","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","16,156","(X)","5,316","","4,734","1,004","3,364","366","225","0","168","57","257","90","167","0","100","0","100","0","","12,071","(X)","3,588","3,208","380"
"            Margin of Error","±1,129","(X)","±744","","±710","±388","±590","±142","±112","±26","±104","±48","±171","±87","±104","±26","±115","±26","±115","±26","","±1,070","(X)","±527","±502","±151"
"        Percent speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","85.2%","(X)","65.5%","","67.5%","78.8%","66.3%","54.6%","74.3%","-","72.1%","81.4%","46.7%","93.8%","46.6%","0.0%","39.5%","-","39.5%","-","","91.0%","(X)","74.9%","76.1%","66.0%"
"            Margin of Error","±3.0","(X)","±5.5","","±5.8","±18.8","±6.6","±16.4","±15.6","**","±14.9","±27.4","±15.5","±13.8","±19.1","±35.3","±42.0","**","±42.0","**","","±2.4","(X)","±5.7","±6.3","±11.1"
"        Speak English  less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","2,805","(X)","2,805","","2,281","270","1,707","304","78","0","65","13","293","6","191","96","153","0","153","0","","1,201","(X)","1,201","1,005","196"
"            Margin of Error","±586","(X)","±586","","±484","±268","±384","±145","±75","±26","±65","±21","±163","±11","±131","±86","±242","±26","±242","±26","","±316","(X)","±316","±303","±101"
"        Percent speak English less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","14.8%","(X)","34.5%","","32.5%","21.2%","33.7%","45.4%","25.7%","-","27.9%","18.6%","53.3%","6.3%","53.4%","100.0%","60.5%","-","60.5%","-","","9.0%","(X)","25.1%","23.9%","34.0%"
"            Margin of Error","±3.0","(X)","±5.5","","±5.8","±18.8","±6.6","±16.4","±15.6","**","±14.9","±27.4","±15.5","±13.8","±19.1","±35.3","±42.0","**","±42.0","**","","±2.4","(X)","±5.7","±6.3","±11.1"
"ZCTA5 78748","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","47,848","38,531","9,317","","7,070","782","5,457","831","780","7","749","24","1,112","129","776","207","355","0","352","3","","38,601","32,081","6,520","5,164","1,356"
"        Margin of Error","±2,647","±2,662","±1,052","","±1,047","±299","±872","±240","±444","±15","±438","±27","±314","±99","±255","±112","±196","±33","±196","±7","","±2,341","±2,279","±746","±721","±387"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","80.5%","19.5%","","14.8%","1.6%","11.4%","1.7%","1.6%","0.0%","1.6%","0.1%","2.3%","0.3%","1.6%","0.4%","0.7%","0.0%","0.7%","0.0%","","(X)","83.1%","16.9%","13.4%","3.5%"
"        Margin of Error","(X)","±2.3","±2.3","","±2.2","±0.6","±1.8","±0.5","±0.9","±0.1","±0.9","±0.1","±0.7","±0.2","±0.5","±0.2","±0.4","±0.1","±0.4","±0.1","","(X)","±2.0","±2.0","±1.9","±1.0"
"    Percent of specified language speakers","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","45,359","(X)","6,828","","5,331","739","4,003","589","472","7","456","9","785","112","593","80","240","0","237","3","","37,393","(X)","5,312","4,305","1,007"
"            Margin of Error","±2,588","(X)","±851","","±867","±296","±682","±213","±232","±15","±227","±14","±273","±107","±224","±76","±137","±33","±137","±7","","±2,304","(X)","±722","±732","±316"
"        Percent speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","94.8%","(X)","73.3%","","75.4%","94.5%","73.4%","70.9%","60.5%","100.0%","60.9%","37.5%","70.6%","86.8%","76.4%","38.6%","67.6%","-","67.3%","100.0%","","96.9%","(X)","81.5%","83.4%","74.3%"
"            Margin of Error","±1.3","(X)","±5.8","","±7.8","±7.0","±9.8","±12.6","±23.6","±100.0","±24.8","±58.4","±14.1","±29.1","±14.3","±29.3","±23.8","**","±24.0","±100.0","","±0.8","(X)","±4.8","±5.5","±11.9"
"        Speak English  less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","2,489","(X)","2,489","","1,739","43","1,454","242","308","0","293","15","327","17","183","127","115","0","115","0","","1,208","(X)","1,208","859","349"
"            Margin of Error","±658","(X)","±658","","±651","±50","±645","±113","±320","±33","±315","±23","±182","±27","±131","±84","±119","±33","±119","±33","","±328","(X)","±328","±272","±200"
"        Percent speak English less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","5.2%","(X)","26.7%","","24.6%","5.5%","26.6%","29.1%","39.5%","0.0%","39.1%","62.5%","29.4%","13.2%","23.6%","61.4%","32.4%","-","32.7%","0.0%","","3.1%","(X)","18.5%","16.6%","25.7%"
"            Margin of Error","±1.3","(X)","±5.8","","±7.8","±7.0","±9.8","±12.6","±23.6","±100.0","±24.8","±58.4","±14.1","±29.1","±14.3","±29.3","±23.8","**","±24.0","±100.0","","±0.8","(X)","±4.8","±5.5","±11.9"
"ZCTA5 78749","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","36,616","28,940","7,676","","3,548","227","2,931","390","1,582","189","1,180","213","2,318","279","1,767","272","228","48","178","2","","28,071","23,230","4,841","3,177","1,664"
"        Margin of Error","±2,237","±1,880","±960","","±790","±138","±678","±199","±559","±137","±470","±181","±482","±168","±403","±176","±217","±73","±163","±4","","±1,966","±1,619","±824","±750","±377"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","79.0%","21.0%","","9.7%","0.6%","8.0%","1.1%","4.3%","0.5%","3.2%","0.6%","6.3%","0.8%","4.8%","0.7%","0.6%","0.1%","0.5%","0.0%","","(X)","82.8%","17.2%","11.3%","5.9%"
"        Margin of Error","(X)","±2.2","±2.2","","±1.9","±0.4","±1.6","±0.5","±1.5","±0.4","±1.3","±0.5","±1.4","±0.5","±1.1","±0.5","±0.6","±0.2","±0.4","±0.1","","(X)","±2.4","±2.4","±2.2","±1.4"
"    Percent of specified language speakers","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","34,975","(X)","6,035","","3,093","215","2,606","272","1,367","142","1,066","159","1,363","155","1,198","10","212","48","162","2","","27,235","(X)","4,005","2,810","1,195"
"            Margin of Error","±2,205","(X)","±837","","±694","±138","±657","±136","±515","±123","±454","±160","±349","±75","±328","±17","±197","±73","±149","±4","","±1,910","(X)","±741","±660","±334"
"        Percent speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","95.5%","(X)","78.6%","","87.2%","94.7%","88.9%","69.7%","86.4%","75.1%","90.3%","74.6%","58.8%","55.6%","67.8%","3.7%","93.0%","100.0%","91.0%","100.0%","","97.0%","(X)","82.7%","88.4%","71.8%"
"            Margin of Error","±1.3","(X)","±5.6","","±5.8","±9.9","±5.9","±27.4","±12.2","±26.9","±11.6","±37.4","±12.7","±34.2","±11.4","±6.9","±7.1","±50.4","±11.4","±100.0","","±0.9","(X)","±4.9","±5.4","±11.0"
"        Speak English  less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","1,641","(X)","1,641","","455","12","325","118","215","47","114","54","955","124","569","262","16","0","16","0","","836","(X)","836","367","469"
"            Margin of Error","±490","(X)","±490","","±239","±19","±175","±140","±205","±56","±141","±79","±398","±152","±249","±174","±25","±30","±25","±30","","±264","(X)","±264","±200","±206"
"        Percent speak English less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","4.5%","(X)","21.4%","","12.8%","5.3%","11.1%","30.3%","13.6%","24.9%","9.7%","25.4%","41.2%","44.4%","32.2%","96.3%","7.0%","0.0%","9.0%","0.0%","","3.0%","(X)","17.3%","11.6%","28.2%"
"            Margin of Error","±1.3","(X)","±5.6","","±5.8","±9.9","±5.9","±27.4","±12.2","±26.9","±11.6","±37.4","±12.7","±34.2","±11.4","±6.9","±7.1","±50.4","±11.4","±100.0","","±0.9","(X)","±4.9","±5.4","±11.0"
"ZCTA5 78750","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","31,963","24,630","7,333","","1,989","393","1,263","333","2,788","589","1,944","255","2,445","404","1,565","476","111","0","74","37","","23,638","19,667","3,971","1,478","2,493"
"        Margin of Error","±2,022","±1,879","±972","","±510","±238","±318","±162","±647","±267","±465","±125","±700","±138","±393","±318","±57","±30","±55","±30","","±1,371","±1,325","±484","±346","±418"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","77.1%","22.9%","","6.2%","1.2%","4.0%","1.0%","8.7%","1.8%","6.1%","0.8%","7.6%","1.3%","4.9%","1.5%","0.3%","0.0%","0.2%","0.1%","","(X)","83.2%","16.8%","6.3%","10.5%"
"        Margin of Error","(X)","±2.8","±2.8","","±1.6","±0.7","±1.0","±0.5","±1.9","±0.8","±1.3","±0.4","±2.2","±0.4","±1.3","±1.0","±0.2","±0.1","±0.2","±0.1","","(X)","±2.0","±2.0","±1.4","±1.8"
"    Percent of specified language speakers","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","30,430","(X)","5,800","","1,714","364","1,122","228","2,428","553","1,692","183","1,564","392","1,047","125","94","0","71","23","","23,014","(X)","3,347","1,244","2,103"
"            Margin of Error","±1,945","(X)","±765","","±500","±234","±318","±138","±574","±267","±409","±104","±378","±137","±253","±111","±55","±30","±54","±22","","±1,360","(X)","±471","±346","±374"
"        Percent speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","95.2%","(X)","79.1%","","86.2%","92.6%","88.8%","68.5%","87.1%","93.9%","87.0%","71.8%","64.0%","97.0%","66.9%","26.3%","84.7%","-","95.9%","62.2%","","97.4%","(X)","84.3%","84.2%","84.4%"
"            Margin of Error","±1.5","(X)","±5.4","","±6.3","±10.6","±6.4","±20.2","±5.9","±7.1","±7.0","±17.5","±10.9","±4.9","±9.4","±20.3","±19.6","**","±9.1","±47.3","","±0.8","(X)","±4.4","±7.9","±5.4"
"        Speak English  less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","1,533","(X)","1,533","","275","29","141","105","360","36","252","72","881","12","518","351","17","0","3","14","","624","(X)","624","234","390"
"            Margin of Error","±490","(X)","±490","","±120","±39","±76","±73","±188","±38","±153","±52","±458","±20","±227","±275","±23","±30","±6","±22","","±179","(X)","±179","±111","±150"
"        Percent speak English less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","4.8%","(X)","20.9%","","13.8%","7.4%","11.2%","31.5%","12.9%","6.1%","13.0%","28.2%","36.0%","3.0%","33.1%","73.7%","15.3%","-","4.1%","37.8%","","2.6%","(X)","15.7%","15.8%","15.6%"
"            Margin of Error","±1.5","(X)","±5.4","","±6.3","±10.6","±6.4","±20.2","±5.9","±7.1","±7.0","±17.5","±10.9","±4.9","±9.4","±20.3","±19.6","**","±9.1","±47.3","","±0.8","(X)","±4.4","±7.9","±5.4"
"ZCTA5 78751","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","15,755","12,863","2,892","","1,507","95","1,305","107","621","0","578","43","690","0","675","15","74","0","74","0","","13,714","12,037","1,677","1,096","581"
"        Margin of Error","±1,355","±1,232","±631","","±429","±83","±367","±71","±169","±22","±168","±39","±376","±22","±375","±23","±97","±22","±97","±22","","±1,217","±1,185","±338","±338","±143"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","81.6%","18.4%","","9.6%","0.6%","8.3%","0.7%","3.9%","0.0%","3.7%","0.3%","4.4%","0.0%","4.3%","0.1%","0.5%","0.0%","0.5%","0.0%","","(X)","87.8%","12.2%","8.0%","4.2%"
"        Margin of Error","(X)","±3.7","±3.7","","±2.6","±0.5","±2.3","±0.5","±1.1","±0.3","±1.1","±0.3","±2.3","±0.3","±2.3","±0.1","±0.6","±0.3","±0.6","±0.3","","(X)","±2.5","±2.5","±2.4","±1.1"
"    Percent of specified language speakers","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","15,083","(X)","2,220","","1,176","57","1,012","107","613","0","570","43","378","0","363","15","53","0","53","0","","13,473","(X)","1,436","894","542"
"            Margin of Error","±1,276","(X)","±414","","±334","±55","±304","±71","±168","±22","±168","±39","±154","±22","±154","±23","±66","±22","±66","±22","","±1,218","(X)","±287","±290","±125"
"        Percent speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","95.7%","(X)","76.8%","","78.0%","60.0%","77.5%","100.0%","98.7%","-","98.6%","100.0%","54.8%","-","53.8%","100.0%","71.6%","-","71.6%","-","","98.2%","(X)","85.6%","81.6%","93.3%"
"            Margin of Error","±2.3","(X)","±9.9","","±8.9","±47.8","±9.7","±32.9","±2.3","**","±2.4","±53.2","±30.3","**","±30.7","±90.1","±10.4","**","±10.4","**","","±1.0","(X)","±6.9","±10.6","±5.7"
"        Speak English  less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","672","(X)","672","","331","38","293","0","8","0","8","0","312","0","312","0","21","0","21","0","","241","(X)","241","202","39"
"            Margin of Error","±378","(X)","±378","","±177","±61","±152","±22","±14","±22","±14","±22","±328","±22","±328","±22","±32","±22","±32","±22","","±134","(X)","±134","±134","±38"
"        Percent speak English less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","4.3%","(X)","23.2%","","22.0%","40.0%","22.5%","0.0%","1.3%","-","1.4%","0.0%","45.2%","-","46.2%","0.0%","28.4%","-","28.4%","-","","1.8%","(X)","14.4%","18.4%","6.7%"
"            Margin of Error","±2.3","(X)","±9.9","","±8.9","±47.8","±9.7","±32.9","±2.3","**","±2.4","±53.2","±30.3","**","±30.7","±90.1","±10.4","**","±10.4","**","","±1.0","(X)","±6.9","±10.6","±5.7"
"ZCTA5 78752","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","19,221","11,338","7,883","","6,889","1,356","5,040","493","290","11","241","38","509","38","471","0","195","0","172","23","","13,685","10,134","3,551","3,063","488"
"        Margin of Error","±1,745","±1,330","±1,236","","±1,188","±421","±957","±251","±160","±19","±131","±48","±315","±67","±309","±26","±184","±26","±159","±34","","±1,280","±1,181","±576","±534","±201"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","59.0%","41.0%","","35.8%","7.1%","26.2%","2.6%","1.5%","0.1%","1.3%","0.2%","2.6%","0.2%","2.5%","0.0%","1.0%","0.0%","0.9%","0.1%","","(X)","74.1%","25.9%","22.4%","3.6%"
"        Margin of Error","(X)","±4.9","±4.9","","±4.8","±2.0","±4.0","±1.3","±0.8","±0.1","±0.7","±0.2","±1.6","±0.3","±1.5","±0.2","±1.0","±0.2","±0.9","±0.2","","(X)","±4.0","±4.0","±3.7","±1.5"
"    Percent of specified language speakers","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","15,279","(X)","3,941","","3,341","945","2,194","202","263","11","214","38","142","38","104","0","195","0","172","23","","12,655","(X)","2,521","2,168","353"
"            Margin of Error","±1,388","(X)","±746","","±726","±392","±485","±152","±152","±19","±124","±48","±99","±67","±69","±26","±184","±26","±159","±34","","±1,294","(X)","±501","±485","±176"
"        Percent speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","79.5%","(X)","50.0%","","48.5%","69.7%","43.5%","41.0%","90.7%","100.0%","88.8%","100.0%","27.9%","100.0%","22.1%","-","100.0%","-","100.0%","100.0%","","92.5%","(X)","71.0%","70.8%","72.3%"
"            Margin of Error","±4.1","(X)","±7.6","","±8.4","±13.9","±9.9","±27.5","±12.2","±100.0","±14.4","±56.6","±21.8","±56.6","±17.8","**","±20.4","**","±22.7","±72.8","","±2.3","(X)","±7.5","±8.7","±17.2"
"        Speak English  less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","3,942","(X)","3,942","","3,548","411","2,846","291","27","0","27","0","367","0","367","0","0","0","0","0","","1,030","(X)","1,030","895","135"
"            Margin of Error","±950","(X)","±950","","±923","±192","±877","±209","±37","±26","±37","±26","±286","±26","±286","±26","±26","±26","±26","±26","","±305","(X)","±305","±299","±90"
"        Percent speak English less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","20.5%","(X)","50.0%","","51.5%","30.3%","56.5%","59.0%","9.3%","0.0%","11.2%","0.0%","72.1%","0.0%","77.9%","-","0.0%","-","0.0%","0.0%","","7.5%","(X)","29.0%","29.2%","27.7%"
"            Margin of Error","±4.1","(X)","±7.6","","±8.4","±13.9","±9.9","±27.5","±12.2","±100.0","±14.4","±56.6","±21.8","±56.6","±17.8","**","±20.4","**","±22.7","±72.8","","±2.3","(X)","±7.5","±8.7","±17.2"
"ZCTA5 78753","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","55,574","24,754","30,820","","24,304","5,920","17,160","1,224","1,856","171","1,665","20","2,386","379","1,758","249","2,274","337","1,694","243","","30,145","20,315","9,830","6,802","3,028"
"        Margin of Error","±2,854","±2,134","±2,375","","±2,026","±993","±1,625","±452","±724","±159","±684","±22","±647","±190","±428","±249","±842","±241","±697","±232","","±2,357","±1,751","±1,433","±1,153","±704"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","44.5%","55.5%","","43.7%","10.7%","30.9%","2.2%","3.3%","0.3%","3.0%","0.0%","4.3%","0.7%","3.2%","0.4%","4.1%","0.6%","3.0%","0.4%","","(X)","67.4%","32.6%","22.6%","10.0%"
"        Margin of Error","(X)","±3.1","±3.1","","±3.0","±1.7","±2.6","±0.8","±1.3","±0.3","±1.2","±0.1","±1.1","±0.3","±0.8","±0.4","±1.5","±0.4","±1.3","±0.4","","(X)","±3.6","±3.6","±3.2","±2.1"
"    Percent of specified language speakers","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","37,836","(X)","13,082","","10,703","3,982","6,481","240","744","115","615","14","852","318","516","18","783","236","540","7","","26,268","(X)","5,953","4,835","1,118"
"            Margin of Error","±2,639","(X)","±1,653","","±1,433","±866","±1,018","±129","±251","±142","±234","±21","±363","±181","±266","±27","±518","±221","±339","±10","","±2,092","(X)","±992","±887","±383"
"        Percent speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","68.1%","(X)","42.4%","","44.0%","67.3%","37.8%","19.6%","40.1%","67.3%","36.9%","70.0%","35.7%","83.9%","29.4%","7.2%","34.4%","70.0%","31.9%","2.9%","","87.1%","(X)","60.6%","71.1%","36.9%"
"            Margin of Error","±2.6","(X)","±3.6","","±4.0","±7.8","±4.1","±12.2","±10.8","±44.4","±10.9","±44.4","±10.3","±14.1","±11.3","±13.1","±16.7","±30.7","±15.9","±6.7","","±2.2","(X)","±5.0","±6.8","±9.1"
"        Speak English  less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","17,738","(X)","17,738","","13,601","1,938","10,679","984","1,112","56","1,050","6","1,534","61","1,242","231","1,491","101","1,154","236","","3,877","(X)","3,877","1,967","1,910"
"            Margin of Error","±1,536","(X)","±1,536","","±1,332","±512","±1,129","±447","±563","±73","±536","±8","±446","±50","±305","±246","±591","±95","±555","±235","","±767","(X)","±767","±614","±523"
"        Percent speak English less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","31.9%","(X)","57.6%","","56.0%","32.7%","62.2%","80.4%","59.9%","32.7%","63.1%","30.0%","64.3%","16.1%","70.6%","92.8%","65.6%","30.0%","68.1%","97.1%","","12.9%","(X)","39.4%","28.9%","63.1%"
"            Margin of Error","±2.6","(X)","±3.6","","±4.0","±7.8","±4.1","±12.2","±10.8","±44.4","±10.9","±44.4","±10.3","±14.1","±11.3","±13.1","±16.7","±30.7","±15.9","±6.7","","±2.2","(X)","±5.0","±6.8","±9.1"
"ZCTA5 78754","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","24,030","10,781","13,249","","8,311","2,100","5,470","741","1,440","175","1,069","196","2,666","263","1,946","457","832","71","678","83","","15,293","8,848","6,445","3,745","2,700"
