"Label (Grouping)","Population 3 years and over enrolled in school","Population 3 years and over enrolled in school!!Nursery school, preschool","Population 3 years and over enrolled in school!!Kindergarten to 12th grade","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Kindergarten","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 1 to grade 4","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 5 to grade 8","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!High school: grade 9 to grade 12","Population 3 years and over enrolled in school!!College, undergraduate","Population 3 years and over enrolled in school!!Graduate, professional school","Population enrolled in college or graduate school","Population enrolled in college or graduate school!!Males enrolled in college or graduate school","Population enrolled in college or graduate school!!Females enrolled in college or graduate school","Population 3 to 4 years","Population 3 to 4 years!!3 to 4 year olds enrolled in school","Population 5 to 9 years","Population 5 to 9 years!!5 to 9 year olds enrolled in school","Population 10 to 14 years","Population 10 to 14 years!!10 to 14 year olds enrolled in school","Population 15 to 17","Population 15 to 17!!15 to 17 year olds enrolled in school","Population 18 to 19 years","Population 18 to 19 years!!18 and 19 year olds enrolled in school","Population 20 to 24 years","Population 20 to 24 years!!20 to 24 year olds enrolled in school","Population 25 to 34 years","Population 25 to 34 years!!25 to 34 year olds enrolled in school","Population 35 years and over","Population 35 years and over!!35 years and over enrolled in school","Population 18 to 24 years","Population 18 to 24 years!!Enrolled in college or graduate school","Population 18 to 24 years!!Males 18 to 24 years","Population 18 to 24 years!!Males 18 to 24 years!!Enrolled in college or graduate school","Population 18 to 24 years!!Females 18 to 24 years","Population 18 to 24 years!!Females 18 to 24 years!!Enrolled in college or graduate school"
"        Margin of Error","±3.1","±16.9","±2.6","±8.4","±4.2","±3.0","±7.3","±5.7","±10.6","±5.1","±4.5","±7.4","(X)","±20.2","(X)","±5.1","(X)","±3.1","(X)","±1.6","(X)","±12.9","(X)","±11.6","(X)","±7.7","(X)","±7.3","(X)","±9.5","(X)","±7.8","(X)","±13.4"
"ZCTA5 78746","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,739","413","6,052","368","1,455","1,922","2,307","910","364","1,274","556","718","457","368","1,746","1,694","2,389","2,360","1,657","1,630","667","648","910","391","2,781","283","16,408","365","1,577","634","735","246","842","388"
"        Margin of Error","±693","±129","±548","±105","±183","±294","±393","±226","±122","±284","±205","±176","±132","±121","±219","±211","±329","±331","±292","±297","±214","±212","±197","±147","±417","±103","±694","±124","±308","±199","±201","±125","±225","±147"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","5.3%","78.2%","4.8%","18.8%","24.8%","29.8%","11.8%","4.7%","16.5%","14.8%","18.1%","(X)","80.5%","(X)","97.0%","(X)","98.8%","(X)","98.4%","(X)","97.2%","(X)","43.0%","(X)","10.2%","(X)","2.2%","(X)","40.2%","(X)","33.5%","(X)","46.1%"
"        Margin of Error","(X)","±1.7","±3.2","±1.4","±2.4","±3.6","±3.5","±2.4","±1.4","±2.9","±4.5","±3.9","(X)","±12.2","(X)","±1.8","(X)","±1.1","(X)","±2.0","(X)","±3.5","(X)","±11.0","(X)","±3.7","(X)","±0.7","(X)","±9.3","(X)","±13.9","(X)","±12.3"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","90","4,939","319","1,200","1,615","1,805","709","275","984","401","583","(X)","82","(X)","1,396","(X)","1,992","(X)","1,338","(X)","434","(X)","262","(X)","243","(X)","266","(X)","483","(X)","137","(X)","346"
"        Margin of Error","(X)","±39","±478","±101","±182","±284","±294","±208","±111","±255","±177","±167","(X)","±38","(X)","±203","(X)","±318","(X)","±273","(X)","±146","(X)","±115","(X)","±98","(X)","±108","(X)","±178","(X)","±85","(X)","±140"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","77.7%","21.8%","81.6%","86.7%","82.5%","84.0%","78.2%","77.9%","75.5%","77.2%","72.1%","81.2%","(X)","22.3%","(X)","82.4%","(X)","84.4%","(X)","82.1%","(X)","67.0%","(X)","67.0%","(X)","85.9%","(X)","72.9%","(X)","76.2%","(X)","55.7%","(X)","89.2%"
"        Margin of Error","±3.9","±9.4","±4.4","±9.0","±6.2","±6.1","±8.3","±9.5","±11.3","±7.3","±12.6","±8.6","(X)","±10.4","(X)","±5.6","(X)","±5.5","(X)","±6.8","(X)","±17.5","(X)","±14.2","(X)","±12.7","(X)","±12.5","(X)","±11.1","(X)","±19.8","(X)","±7.8"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","323","1,113","49","255","307","502","201","89","290","155","135","(X)","286","(X)","298","(X)","368","(X)","292","(X)","214","(X)","129","(X)","40","(X)","99","(X)","151","(X)","109","(X)","42"
"        Margin of Error","(X)","±120","±299","±34","±92","±122","±236","±90","±42","±100","±78","±63","(X)","±113","(X)","±100","(X)","±136","(X)","±120","(X)","±152","(X)","±71","(X)","±37","(X)","±52","(X)","±76","(X)","±72","(X)","±30"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","22.3%","78.2%","18.4%","13.3%","17.5%","16.0%","21.8%","22.1%","24.5%","22.8%","27.9%","18.8%","(X)","77.7%","(X)","17.6%","(X)","15.6%","(X)","17.9%","(X)","33.0%","(X)","33.0%","(X)","14.1%","(X)","27.1%","(X)","23.8%","(X)","44.3%","(X)","10.8%"
"        Margin of Error","±3.9","±9.4","±4.4","±9.0","±6.2","±6.1","±8.3","±9.5","±11.3","±7.3","±12.6","±8.6","(X)","±10.4","(X)","±5.6","(X)","±5.5","(X)","±6.8","(X)","±17.5","(X)","±14.2","(X)","±12.7","(X)","±12.5","(X)","±11.1","(X)","±19.8","(X)","±7.8"
"ZCTA5 78747","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,185","206","3,686","262","1,367","961","1,096","1,165","128","1,293","758","535","368","173","1,558","1,535","1,189","1,169","867","867","335","306","1,141","495","3,571","387","10,300","253","1,476","653","911","416","565","237"
"        Margin of Error","±689","±95","±586","±131","±331","±244","±284","±421","±96","±440","±329","±210","±159","±88","±335","±341","±258","±259","±251","±251","±153","±144","±370","±277","±603","±169","±852","±195","±404","±284","±315","±204","±217","±127"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","4.0%","71.1%","5.1%","26.4%","18.5%","21.1%","22.5%","2.5%","24.9%","28.4%","21.2%","(X)","47.0%","(X)","98.5%","(X)","98.3%","(X)","100.0%","(X)","91.3%","(X)","43.4%","(X)","10.8%","(X)","2.5%","(X)","44.2%","(X)","45.7%","(X)","41.9%"
"        Margin of Error","(X)","±1.9","±7.4","±2.5","±5.5","±4.3","±4.6","±6.9","±1.8","±7.2","±10.1","±7.7","(X)","±18.5","(X)","±2.6","(X)","±2.9","(X)","±5.1","(X)","±8.3","(X)","±17.9","(X)","±4.8","(X)","±1.8","(X)","±14.2","(X)","±16.7","(X)","±16.4"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","102","3,536","262","1,348","862","1,064","725","76","801","476","325","(X)","90","(X)","1,495","(X)","1,038","(X)","867","(X)","278","(X)","203","(X)","362","(X)","106","(X)","333","(X)","227","(X)","106"
"        Margin of Error","(X)","±66","±585","±131","±329","±252","±281","±251","±62","±257","±201","±156","(X)","±63","(X)","±337","(X)","±253","(X)","±251","(X)","±140","(X)","±112","(X)","±163","(X)","±109","(X)","±136","(X)","±119","(X)","±70"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","85.6%","49.5%","95.9%","100.0%","98.6%","89.7%","97.1%","62.2%","59.4%","61.9%","62.8%","60.7%","(X)","52.0%","(X)","97.4%","(X)","88.8%","(X)","100.0%","(X)","90.8%","(X)","41.0%","(X)","93.5%","(X)","41.9%","(X)","51.0%","(X)","54.6%","(X)","44.7%"
"        Margin of Error","±7.5","±25.3","±2.5","±15.7","±1.8","±7.9","±3.3","±21.9","±31.3","±20.1","±27.5","±20.5","(X)","±28.9","(X)","±2.5","(X)","±7.5","(X)","±5.1","(X)","±10.6","(X)","±22.6","(X)","±9.7","(X)","±38.7","(X)","±21.4","(X)","±28.3","(X)","±25.9"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","104","150","0","19","99","32","440","52","492","282","210","(X)","83","(X)","40","(X)","131","(X)","0","(X)","28","(X)","292","(X)","25","(X)","147","(X)","320","(X)","189","(X)","131"
"        Margin of Error","(X)","±73","±94","±26","±25","±73","±36","±368","±60","±381","±299","±148","(X)","±67","(X)","±39","(X)","±92","(X)","±26","(X)","±33","(X)","±242","(X)","±40","(X)","±161","(X)","±245","(X)","±181","(X)","±106"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","14.4%","50.5%","4.1%","0.0%","1.4%","10.3%","2.9%","37.8%","40.6%","38.1%","37.2%","39.3%","(X)","48.0%","(X)","2.6%","(X)","11.2%","(X)","0.0%","(X)","9.2%","(X)","59.0%","(X)","6.5%","(X)","58.1%","(X)","49.0%","(X)","45.4%","(X)","55.3%"
"        Margin of Error","±7.5","±25.3","±2.5","±15.7","±1.8","±7.9","±3.3","±21.9","±31.3","±20.1","±27.5","±20.5","(X)","±28.9","(X)","±2.5","(X)","±7.5","(X)","±5.1","(X)","±10.6","(X)","±22.6","(X)","±9.7","(X)","±38.7","(X)","±21.4","(X)","±28.3","(X)","±25.9"
"ZCTA5 78748","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10,875","1,110","6,568","862","2,041","1,883","1,782","2,195","1,002","3,197","1,406","1,791","1,853","1,110","3,002","2,829","2,247","2,145","1,695","1,431","666","478","2,485","789","11,421","1,321","26,332","772","3,151","1,140","1,664","607","1,487","533"
"        Margin of Error","±1,472","±508","±940","±380","±434","±403","±476","±463","±537","±728","±423","±604","±542","±488","±619","±598","±475","±454","±389","±356","±232","±213","±460","±244","±1,949","±559","±1,691","±291","±503","±313","±329","±215","±381","±209"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","10.2%","60.4%","7.9%","18.8%","17.3%","16.4%","20.2%","9.2%","29.4%","25.8%","33.0%","(X)","59.9%","(X)","94.2%","(X)","95.5%","(X)","84.4%","(X)","71.8%","(X)","31.8%","(X)","11.6%","(X)","2.9%","(X)","36.2%","(X)","36.5%","(X)","35.8%"
"        Margin of Error","(X)","±4.1","±5.1","±3.1","±3.5","±3.5","±4.1","±4.1","±4.5","±5.5","±6.5","±7.9","(X)","±14.0","(X)","±4.3","(X)","±4.6","(X)","±7.7","(X)","±16.4","(X)","±10.1","(X)","±4.7","(X)","±1.1","(X)","±9.7","(X)","±13.2","(X)","±12.5"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","685","5,814","733","1,809","1,568","1,704","1,950","724","2,674","1,154","1,520","(X)","689","(X)","2,485","(X)","1,809","(X)","1,293","(X)","468","(X)","667","(X)","1,152","(X)","610","(X)","1,008","(X)","549","(X)","459"
"        Margin of Error","(X)","±475","±920","±384","±420","±388","±474","±459","±505","±691","±374","±596","(X)","±485","(X)","±587","(X)","±467","(X)","±342","(X)","±211","(X)","±241","(X)","±538","(X)","±244","(X)","±322","(X)","±221","(X)","±205"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","84.3%","61.7%","88.5%","85.0%","88.6%","83.3%","95.6%","88.8%","72.3%","83.6%","82.1%","84.9%","(X)","62.1%","(X)","87.8%","(X)","84.3%","(X)","90.4%","(X)","97.9%","(X)","84.5%","(X)","87.2%","(X)","79.0%","(X)","88.4%","(X)","90.4%","(X)","86.1%"
"        Margin of Error","±3.9","±20.3","±3.9","±13.0","±5.9","±8.5","±4.7","±6.2","±19.3","±6.8","±9.4","±9.4","(X)","±21.7","(X)","±5.7","(X)","±8.0","(X)","±8.4","(X)","±3.2","(X)","±10.0","(X)","±9.3","(X)","±16.5","(X)","±7.5","(X)","±9.0","(X)","±11.3"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","425","754","129","232","315","78","245","278","523","252","271","(X)","421","(X)","344","(X)","336","(X)","138","(X)","10","(X)","122","(X)","169","(X)","162","(X)","132","(X)","58","(X)","74"
"        Margin of Error","(X)","±172","±254","±98","±122","±167","±80","±135","±171","±220","±148","±156","(X)","±163","(X)","±159","(X)","±167","(X)","±127","(X)","±15","(X)","±76","(X)","±115","(X)","±146","(X)","±77","(X)","±48","(X)","±60"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","15.7%","38.3%","11.5%","15.0%","11.4%","16.7%","4.4%","11.2%","27.7%","16.4%","17.9%","15.1%","(X)","37.9%","(X)","12.2%","(X)","15.7%","(X)","9.6%","(X)","2.1%","(X)","15.5%","(X)","12.8%","(X)","21.0%","(X)","11.6%","(X)","9.6%","(X)","13.9%"
"        Margin of Error","±3.9","±20.3","±3.9","±13.0","±5.9","±8.5","±4.7","±6.2","±19.3","±6.8","±9.4","±9.4","(X)","±21.7","(X)","±5.7","(X)","±8.0","(X)","±8.4","(X)","±3.2","(X)","±10.0","(X)","±9.3","(X)","±16.5","(X)","±7.5","(X)","±9.0","(X)","±11.3"
"ZCTA5 78749","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","8,598","757","5,950","304","1,980","2,175","1,491","1,435","456","1,891","745","1,146","1,006","529","2,318","2,198","2,663","2,634","1,072","1,066","526","348","1,488","547","5,852","716","22,697","560","2,014","599","1,079","241","935","358"
"        Margin of Error","±847","±229","±778","±158","±401","±576","±410","±372","±167","±435","±305","±295","±386","±200","±372","±368","±573","±576","±319","±318","±189","±155","±376","±186","±943","±340","±1,634","±228","±437","±172","±334","±105","±226","±144"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","8.8%","69.2%","3.5%","23.0%","25.3%","17.3%","16.7%","5.3%","22.0%","18.1%","25.6%","(X)","52.6%","(X)","94.8%","(X)","98.9%","(X)","99.4%","(X)","66.2%","(X)","36.8%","(X)","12.2%","(X)","2.5%","(X)","29.7%","(X)","22.3%","(X)","38.3%"
"        Margin of Error","(X)","±2.7","±5.4","±1.8","±4.6","±5.4","±4.6","±3.9","±1.9","±4.5","±6.3","±5.9","(X)","±21.3","(X)","±3.4","(X)","±1.8","(X)","±1.4","(X)","±19.2","(X)","±7.5","(X)","±5.6","(X)","±1.0","(X)","±8.1","(X)","±8.8","(X)","±11.7"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","341","5,095","304","1,556","1,896","1,339","1,206","329","1,535","593","942","(X)","197","(X)","1,775","(X)","2,216","(X)","979","(X)","307","(X)","484","(X)","589","(X)","424","(X)","506","(X)","179","(X)","327"
"        Margin of Error","(X)","±155","±773","±158","±389","±540","±410","±358","±148","±413","±290","±278","(X)","±150","(X)","±364","(X)","±526","(X)","±318","(X)","±160","(X)","±186","(X)","±321","(X)","±209","(X)","±174","(X)","±98","(X)","±148"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","81.1%","45.0%","85.6%","100.0%","78.6%","87.2%","89.8%","84.0%","72.1%","81.2%","79.6%","82.2%","(X)","37.2%","(X)","80.8%","(X)","84.1%","(X)","91.8%","(X)","88.2%","(X)","88.5%","(X)","82.3%","(X)","75.7%","(X)","84.5%","(X)","74.3%","(X)","91.3%"
"        Margin of Error","±4.6","±16.1","±5.4","±13.7","±7.9","±7.7","±6.8","±8.1","±14.2","±6.9","±11.3","±8.5","(X)","±20.8","(X)","±8.4","(X)","±8.1","(X)","±6.4","(X)","±12.9","(X)","±8.9","(X)","±12.2","(X)","±15.4","(X)","±9.7","(X)","±17.5","(X)","±9.1"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","416","855","0","424","279","152","229","127","356","152","204","(X)","332","(X)","423","(X)","418","(X)","87","(X)","41","(X)","63","(X)","127","(X)","136","(X)","93","(X)","62","(X)","31"
"        Margin of Error","(X)","±180","±322","±30","±153","±178","±97","±116","±70","±129","±75","±99","(X)","±136","(X)","±191","(X)","±230","(X)","±65","(X)","±41","(X)","±43","(X)","±85","(X)","±86","(X)","±55","(X)","±44","(X)","±29"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","18.9%","55.0%","14.4%","0.0%","21.4%","12.8%","10.2%","16.0%","27.9%","18.8%","20.4%","17.8%","(X)","62.8%","(X)","19.2%","(X)","15.9%","(X)","8.2%","(X)","11.8%","(X)","11.5%","(X)","17.7%","(X)","24.3%","(X)","15.5%","(X)","25.7%","(X)","8.7%"
"        Margin of Error","±4.6","±16.1","±5.4","±13.7","±7.9","±7.7","±6.8","±8.1","±14.2","±6.9","±11.3","±8.5","(X)","±20.8","(X)","±8.4","(X)","±8.1","(X)","±6.4","(X)","±12.9","(X)","±8.9","(X)","±12.2","(X)","±15.4","(X)","±9.7","(X)","±17.5","(X)","±9.1"
"ZCTA5 78750","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","8,063","738","6,061","198","2,184","1,993","1,686","792","472","1,264","758","506","963","657","2,245","2,094","2,679","2,679","1,225","1,213","379","284","1,265","383","5,481","400","18,689","353","1,644","517","799","210","845","307"
"        Margin of Error","±1,206","±265","±1,128","±91","±686","±460","±367","±219","±252","±331","±300","±161","±388","±258","±467","±432","±786","±786","±260","±257","±144","±129","±314","±148","±794","±177","±1,253","±252","±358","±164","±231","±101","±232","±132"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","9.2%","75.2%","2.5%","27.1%","24.7%","20.9%","9.8%","5.9%","15.7%","17.3%","13.7%","(X)","68.2%","(X)","93.3%","(X)","100.0%","(X)","99.0%","(X)","74.9%","(X)","30.3%","(X)","7.3%","(X)","1.9%","(X)","31.4%","(X)","26.3%","(X)","36.3%"
"        Margin of Error","(X)","±3.2","±5.3","±1.2","±6.2","±3.7","±4.0","±3.1","±3.0","±4.3","±6.5","±4.2","(X)","±20.3","(X)","±5.6","(X)","±1.7","(X)","±1.1","(X)","±15.3","(X)","±9.8","(X)","±3.2","(X)","±1.3","(X)","±8.2","(X)","±11.8","(X)","±12.1"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","376","5,642","122","2,019","1,892","1,609","752","459","1,211","727","484","(X)","347","(X)","1,814","(X)","2,565","(X)","1,167","(X)","253","(X)","377","(X)","384","(X)","322","(X)","511","(X)","210","(X)","301"
"        Margin of Error","(X)","±237","±1,123","±66","±690","±457","±353","±219","±251","±332","±301","±164","(X)","±234","(X)","±437","(X)","±787","(X)","±242","(X)","±118","(X)","±149","(X)","±175","(X)","±253","(X)","±163","(X)","±101","(X)","±131"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","89.7%","50.9%","93.1%","61.6%","92.4%","94.9%","95.4%","94.9%","97.2%","95.8%","95.9%","95.7%","(X)","52.8%","(X)","86.6%","(X)","95.7%","(X)","96.2%","(X)","89.1%","(X)","98.4%","(X)","96.0%","(X)","91.2%","(X)","98.8%","(X)","100.0%","(X)","98.0%"
"        Margin of Error","±3.1","±19.9","±3.2","±24.0","±5.5","±3.5","±4.6","±3.9","±3.7","±2.8","±3.6","±4.5","(X)","±22.2","(X)","±6.3","(X)","±2.9","(X)","±5.1","(X)","±17.3","(X)","±2.4","(X)","±4.9","(X)","±10.2","(X)","±1.7","(X)","±19.2","(X)","±2.9"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","362","419","76","165","101","77","40","13","53","31","22","(X)","310","(X)","280","(X)","114","(X)","46","(X)","31","(X)","6","(X)","16","(X)","31","(X)","6","(X)","0","(X)","6"
"        Margin of Error","(X)","±133","±185","±62","±108","±68","±81","±29","±15","±33","±23","±21","(X)","±131","(X)","±126","(X)","±70","(X)","±64","(X)","±52","(X)","±9","(X)","±18","(X)","±23","(X)","±9","(X)","±30","(X)","±9"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10.3%","49.1%","6.9%","38.4%","7.6%","5.1%","4.6%","5.1%","2.8%","4.2%","4.1%","4.3%","(X)","47.2%","(X)","13.4%","(X)","4.3%","(X)","3.8%","(X)","10.9%","(X)","1.6%","(X)","4.0%","(X)","8.8%","(X)","1.2%","(X)","0.0%","(X)","2.0%"
"        Margin of Error","±3.1","±19.9","±3.2","±24.0","±5.5","±3.5","±4.6","±3.9","±3.7","±2.8","±3.6","±4.5","(X)","±22.2","(X)","±6.3","(X)","±2.9","(X)","±5.1","(X)","±17.3","(X)","±2.4","(X)","±4.9","(X)","±10.2","(X)","±1.7","(X)","±19.2","(X)","±2.9"
"ZCTA5 78751","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,836","41","661","5","169","258","229","1,666","2,468","4,134","2,078","2,056","66","27","153","131","322","322","188","188","178","152","2,437","1,653","7,062","2,121","5,415","242","2,615","1,786","1,275","882","1,340","904"
"        Margin of Error","±786","±36","±211","±8","±108","±125","±116","±372","±575","±748","±522","±398","±49","±32","±85","±80","±138","±138","±105","±105","±97","±86","±537","±508","±1,042","±544","±631","±98","±554","±522","±379","±351","±356","±297"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","0.8%","13.7%","0.1%","3.5%","5.3%","4.7%","34.4%","51.0%","85.5%","84.0%","87.0%","(X)","40.9%","(X)","85.6%","(X)","100.0%","(X)","100.0%","(X)","85.4%","(X)","67.8%","(X)","30.0%","(X)","4.5%","(X)","68.3%","(X)","69.2%","(X)","67.5%"
"        Margin of Error","(X)","±0.7","±4.3","±0.2","±2.2","±2.6","±2.4","±5.8","±7.0","±4.3","±6.3","±4.6","(X)","±34.2","(X)","±18.6","(X)","±13.0","(X)","±21.1","(X)","±20.4","(X)","±8.8","(X)","±6.0","(X)","±1.8","(X)","±8.3","(X)","±10.0","(X)","±10.1"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","0","553","5","169","212","167","1,554","2,400","3,954","1,957","1,997","(X)","0","(X)","117","(X)","276","(X)","141","(X)","152","(X)","1,589","(X)","1,990","(X)","242","(X)","1,737","(X)","863","(X)","874"
"        Margin of Error","(X)","±22","±172","±8","±108","±100","±91","±357","±572","±740","±515","±395","(X)","±22","(X)","±77","(X)","±118","(X)","±84","(X)","±86","(X)","±509","(X)","±527","(X)","±98","(X)","±523","(X)","±352","(X)","±296"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","93.2%","0.0%","83.7%","100.0%","100.0%","82.2%","72.9%","93.3%","97.2%","95.6%","94.2%","97.1%","(X)","0.0%","(X)","89.3%","(X)","85.7%","(X)","75.0%","(X)","100.0%","(X)","96.1%","(X)","93.8%","(X)","100.0%","(X)","97.3%","(X)","97.8%","(X)","96.7%"
"        Margin of Error","±3.1","±54.5","±12.4","±100.0","±23.1","±13.0","±21.9","±4.7","±2.5","±2.4","±4.4","±2.3","(X)","±67.2","(X)","±10.6","(X)","±11.2","(X)","±26.2","(X)","±25.2","(X)","±2.9","(X)","±4.3","(X)","±16.9","(X)","±2.0","(X)","±2.5","(X)","±3.8"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","41","108","0","0","46","62","112","68","180","121","59","(X)","27","(X)","14","(X)","46","(X)","47","(X)","0","(X)","64","(X)","131","(X)","0","(X)","49","(X)","19","(X)","30"
"        Margin of Error","(X)","±36","±97","±22","±22","±42","±63","±81","±59","±95","±89","±48","(X)","±32","(X)","±13","(X)","±42","(X)","±59","(X)","±22","(X)","±43","(X)","±92","(X)","±22","(X)","±32","(X)","±19","(X)","±33"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6.8%","100.0%","16.3%","0.0%","0.0%","17.8%","27.1%","6.7%","2.8%","4.4%","5.8%","2.9%","(X)","100.0%","(X)","10.7%","(X)","14.3%","(X)","25.0%","(X)","0.0%","(X)","3.9%","(X)","6.2%","(X)","0.0%","(X)","2.7%","(X)","2.2%","(X)","3.3%"
"        Margin of Error","±3.1","±54.5","±12.4","±100.0","±23.1","±13.0","±21.9","±4.7","±2.5","±2.4","±4.4","±2.3","(X)","±67.2","(X)","±10.6","(X)","±11.2","(X)","±26.2","(X)","±25.2","(X)","±2.9","(X)","±4.3","(X)","±16.9","(X)","±2.0","(X)","±2.5","(X)","±3.8"
"ZCTA5 78752","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,307","422","2,331","213","579","761","778","1,017","537","1,554","583","971","683","348","730","692","931","931","738","645","412","249","1,849","338","5,538","889","9,023","215","2,261","453","1,042","147","1,219","306"
"        Margin of Error","±727","±198","±488","±140","±231","±292","±220","±291","±234","±433","±181","±359","±296","±179","±255","±253","±326","±326","±174","±180","±188","±130","±604","±170","±782","±358","±1,185","±115","±599","±193","±445","±83","±367","±172"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","9.8%","54.1%","4.9%","13.4%","17.7%","18.1%","23.6%","12.5%","36.1%","24.8%","49.6%","(X)","51.0%","(X)","94.8%","(X)","100.0%","(X)","87.4%","(X)","60.4%","(X)","18.3%","(X)","16.1%","(X)","2.4%","(X)","20.0%","(X)","14.1%","(X)","25.1%"
"        Margin of Error","(X)","±4.1","±7.3","±3.1","±4.5","±6.2","±4.9","±5.4","±5.1","±8.0","±7.6","±12.6","(X)","±22.2","(X)","±7.6","(X)","±4.7","(X)","±11.6","(X)","±24.6","(X)","±8.6","(X)","±5.9","(X)","±1.2","(X)","±7.5","(X)","±8.4","(X)","±11.2"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","179","2,199","184","492","748","775","917","477","1,394","493","901","(X)","113","(X)","597","(X)","889","(X)","642","(X)","234","(X)","329","(X)","823","(X)","145","(X)","429","(X)","138","(X)","291"
"        Margin of Error","(X)","±149","±462","±132","±218","±275","±220","±278","±236","±420","±161","±354","(X)","±125","(X)","±236","(X)","±310","(X)","±180","(X)","±129","(X)","±168","(X)","±346","(X)","±89","(X)","±191","(X)","±81","(X)","±170"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
