"Label (Grouping)","Families","Families!!With related children of householder under 18 years","Families!!With related children of householder under 18 years!!With related children of householder under 5 years","Families!!With related children of householder under 18 years!!With related children of householder under 5 years and 5 to 17 years","Families!!With related children of householder under 18 years!!With related children of householder 5 to 17  years","Families!!RACE AND HISPANIC OR LATINO ORIGIN","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!White alone","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Black or African American alone","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!American Indian and Alaska Native alone","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Asian alone","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Native Hawaiian and Other Pacific Islander alone","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Some other race alone","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Two or more races","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Hispanic or Latino origin (of any race)","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!White alone, not Hispanic or Latino","Families!!Householder worked","Families!!Householder worked!!Householder worked full-time, year-round in the past 12 months","Families!!Householder 65 years and over","Families!!Family received --","Families!!Family received --!!Supplemental Security Income (SSI) and/or cash public assistance income in the past 12 months","Families!!Family received --!!Social security income in the past 12 months","Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER","Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Less than high school graduate","Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!High school graduate (includes equivalency)","Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Some college, associate's degree","Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Bachelor's degree or higher","Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS","Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!No child","Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!1 or 2 children","Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!3 or 4 children","Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!5 or more children","Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS","Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!No own child of the householder","Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!1 or 2 own children of the householder","Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!3 or 4 own children of the householder","Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!5 or more own children of the householder","Families!!NUMBER OF PEOPLE IN FAMILY","Families!!NUMBER OF PEOPLE IN FAMILY!!2 people","Families!!NUMBER OF PEOPLE IN FAMILY!!3 or 4 people","Families!!NUMBER OF PEOPLE IN FAMILY!!5 or 6 people","Families!!NUMBER OF PEOPLE IN FAMILY!!7 or more people","Families!!NUMBER OF WORKERS IN FAMILY","Families!!NUMBER OF WORKERS IN FAMILY!!No workers","Families!!NUMBER OF WORKERS IN FAMILY!!1 worker","Families!!NUMBER OF WORKERS IN FAMILY!!2 workers","Families!!NUMBER OF WORKERS IN FAMILY!!3 or more workers","Families!!INCOME DEFICIT","Families!!INCOME DEFICIT!!Mean income deficit for families (dollars)","Families!!TENURE","Families!!TENURE!!Owner occupied","Families!!TENURE!!Renter Occupied","Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS","Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!50 percent of poverty level","Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!125 percent of poverty level","Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!150 percent of poverty level","Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!185 percent of poverty level","Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!200 percent of poverty level","Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!300 percent of poverty level","Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!400 percent of poverty level","Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!500 percent of poverty level"
"            Margin of Error","±259","±129","±74","±13","±105","","","±239","±46","±25","±40","±22","±17","±154","±178","±223","±228","±175","±70","","±16","±171","","±17","±160","±97","±227","","±279","±123","±30","±22","","±282","±124","±30","±22","","±268","±132","±39","±22","","±48","±179","±208","±62","","N","","±170","±234","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","11.0%","5.8%","14.8%","0.0%","0.0%","","","6.4%","0.0%","0.0%","0.0%","-","0.0%","79.7%","26.3%","7.6%","6.0%","2.1%","0.0%","","0.0%","28.7%","","0.0%","62.0%","0.0%","6.8%","","13.0%","6.2%","0.0%","-","","12.9%","6.3%","0.0%","-","","13.9%","5.4%","0.0%","-","","0.0%","27.8%","5.9%","0.0%","","(X)","","2.3%","20.9%","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±9.9","±7.3","±18.4","±100.0","±14.8","","","±7.0","±53.8","±74.4","±50.4","**","±100.0","±45.7","±35.1","±8.2","±7.0","±3.2","±24.4","","±90.1","±35.9","","±100.0","±48.5","±16.3","±7.9","","±13.2","±7.6","±71.2","**","","±13.1","±7.8","±71.2","**","","±14.0","±6.7","±52.6","**","","±42.0","±29.3","±8.7","±40.8","","(X)","","±3.5","±18.8","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female householder, no spouse present","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","362","111","19","23","69","","","324","15","0","17","0","0","6","27","297","321","203","82","","34","90","","19","137","102","104","","251","111","0","0","","251","111","0","0","","301","61","0","0","","26","126","210","0","","N","","157","205","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±151","±58","±28","±25","±43","","","±146","±25","±22","±26","±22","±22","±12","±34","±143","±147","±115","±92","","±38","±93","","±31","±111","±63","±59","","±136","±58","±22","±22","","±136","±58","±22","±22","","±145","±45","±22","±22","","±24","±68","±131","±22","","N","","±105","±98","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","7.5%","24.3%","0.0%","34.8%","27.5%","","","8.3%","0.0%","-","0.0%","-","-","0.0%","70.4%","2.7%","8.4%","9.4%","0.0%","","0.0%","0.0%","","100.0%","0.0%","0.0%","7.7%","","0.0%","24.3%","-","-","","0.0%","24.3%","-","-","","0.0%","44.3%","-","-","","0.0%","21.4%","0.0%","-","","(X)","","0.0%","13.2%","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±9.2","±26.8","±80.1","±55.5","±39.4","","","±10.3","±90.1","**","±84.6","**","**","±100.0","±59.3","±4.2","±10.5","±14.9","±38.5","","±59.8","±36.7","","±80.1","±27.4","±33.9","±11.5","","±16.3","±26.8","**","**","","±16.3","±26.8","**","**","","±13.9","±39.8","**","**","","±68.4","±23.4","±19.2","**","","(X)","","±24.5","±15.2","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"ZCTA5 78752","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    All families","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","3,892","1,863","507","446","910","","","1,879","578","213","147","0","558","517","1,922","1,146","3,276","2,558","430","","232","698","","770","686","1,197","1,239","","2,029","1,421","342","100","","2,255","1,284","297","56","","1,968","1,267","537","120","","231","1,041","2,248","372","","8,270","","1,254","2,638","","87","820","1,042","1,302","1,409","1,976","2,508","2,816"
"            Margin of Error","±596","±366","±254","±179","±214","","","±314","±338","±103","±98","±26","±227","±416","±495","±274","±548","±546","±177","","±158","±226","","±273","±248","±392","±317","","±568","±307","±166","±97","","±563","±298","±157","±67","","±548","±301","±216","±107","","±139","±315","±542","±161","","±2,187","","±287","±506","","±65","±274","±332","±378","±373","±497","±514","±507"
"        Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","13.8%","18.5%","0.0%","43.3%","16.7%","","","8.5%","15.7%","41.8%","38.8%","-","23.7%","1.7%","14.0%","10.5%","11.1%","8.6%","18.6%","","46.6%","14.9%","","29.9%","23.6%","7.8%","4.2%","","9.5%","14.6%","16.1%","82.0%","","8.5%","19.6%","18.5%","67.9%","","8.9%","17.8%","10.2%","68.3%","","57.6%","21.8%","7.9%","0.0%","","(X)","","11.2%","15.0%","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±5.1","±7.6","±8.5","±25.4","±9.8","","","±4.6","±18.7","±34.5","±29.0","**","±18.5","±4.4","±8.2","±7.0","±5.3","±5.5","±24.6","","±33.6","±16.0","","±17.5","±17.7","±6.7","±4.8","","±7.0","±7.3","±24.0","±37.0","","±6.3","±8.5","±27.6","±61.1","","±7.1","±8.3","±15.4","±40.8","","±24.5","±13.0","±5.2","±11.4","","(X)","","±9.3","±6.7","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","2,490","1,108","343","235","530","","","1,353","208","57","118","0","372","382","1,260","821","2,162","1,716","219","","75","391","","312","336","756","1,086","","1,382","745","325","38","","1,382","790","280","38","","1,160","893","361","76","","58","494","1,704","234","","7,002","","943","1,547","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±545","±276","±176","±130","±152","","","±266","±224","±77","±86","±26","±174","±361","±466","±216","±539","±533","±129","","±55","±211","","±133","±179","±421","±303","","±489","±193","±171","±61","","±489","±195","±161","±61","","±465","±227","±180","±75","","±61","±223","±507","±136","","±2,527","","±257","±512","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","8.1%","12.5%","0.0%","36.6%","10.0%","","","3.7%","0.0%","84.2%","23.7%","-","20.2%","0.0%","11.0%","4.1%","6.9%","2.8%","0.0%","","37.3%","6.1%","","29.2%","14.3%","1.3%","4.8%","","4.5%","7.1%","14.8%","100.0%","","4.5%","6.7%","17.1%","100.0%","","2.9%","9.1%","13.3%","50.0%","","41.4%","15.4%","5.9%","0.0%","","(X)","","6.5%","9.0%","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±4.8","±9.4","±12.3","±33.3","±9.8","","","±3.0","±19.3","±43.9","±28.9","**","±18.4","±11.1","±8.7","±5.3","±5.0","±4.5","±18.5","","±43.0","±10.1","","±22.9","±22.1","±2.5","±5.5","","±4.7","±6.9","±23.4","±56.6","","±4.7","±6.5","±27.2","±56.6","","±4.1","±7.9","±21.2","±50.0","","±45.9","±15.3","±4.7","±17.4","","(X)","","±6.6","±6.9","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female householder, no spouse present","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","684","373","68","150","155","","","276","206","16","29","0","148","9","253","180","490","346","150","","89","190","","220","131","268","65","","311","312","17","44","","335","332","17","0","","461","110","69","44","","143","300","222","19","","8,993","","226","458","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±252","±181","±105","±104","±114","","","±150","±187","±20","±45","±26","±123","±19","±156","±105","±221","±175","±114","","±122","±130","","±135","±142","±144","±52","","±163","±173","±30","±70","","±177","±177","±30","±26","","±197","±78","±78","±70","","±115","±181","±166","±25","","±4,299","","±130","±218","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","38.3%","35.4%","0.0%","64.7%","22.6%","","","27.5%","44.2%","0.0%","100.0%","-","38.5%","100.0%","26.1%","42.2%","29.0%","31.5%","53.3%","","89.9%","42.1%","","63.2%","69.5%","11.9%","0.0%","","41.8%","26.0%","41.2%","100.0%","","38.8%","37.7%","41.2%","-","","30.6%","63.6%","10.1%","100.0%","","76.2%","33.3%","23.9%","0.0%","","(X)","","35.4%","39.7%","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±17.9","±20.6","±42.3","±40.8","±33.1","","","±21.6","±44.2","±87.2","±64.8","**","±47.1","±100.0","±32.9","±30.3","±18.8","±25.4","±51.9","","±28.1","±47.0","","±32.5","±48.7","±12.8","±43.3","","±35.0","±19.1","±58.8","±52.6","","±33.7","±22.6","±58.8","**","","±26.7","±37.3","±30.6","±52.6","","±27.0","±27.7","±25.1","±80.1","","(X)","","±40.7","±21.0","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"ZCTA5 78753","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    All families","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","13,173","7,309","1,530","1,708","4,071","","","7,503","1,797","366","975","0","1,990","542","7,212","2,886","10,669","8,300","1,109","","793","1,937","","3,360","3,293","2,997","3,523","","5,864","5,454","1,667","188","","6,409","5,219","1,444","101","","5,250","5,486","1,964","473","","1,076","4,841","5,279","1,977","","9,756","","5,106","8,067","","737","2,871","3,712","4,969","5,359","7,521","9,154","10,821"
"            Margin of Error","±760","±682","±357","±368","±606","","","±640","±376","±183","±229","±33","±420","±255","±622","±483","±846","±755","±247","","±260","±369","","±445","±423","±474","±561","","±701","±686","±338","±125","","±682","±662","±331","±93","","±564","±658","±406","±203","","±264","±529","±589","±443","","±1,279","","±476","±706","","±231","±464","±502","±555","±586","±602","±694","±778"
"        Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","15.0%","23.6%","24.0%","33.1%","19.6%","","","13.6%","12.4%","29.5%","27.0%","-","18.1%","0.0%","18.9%","5.0%","10.3%","7.7%","6.0%","","21.8%","11.2%","","26.7%","19.1%","8.9%","5.2%","","4.2%","20.2%","34.1%","31.4%","","4.0%","21.3%","39.1%","45.5%","","9.5%","17.6%","21.4%","19.9%","","47.8%","22.9%","6.6%","0.4%","","(X)","","6.4%","20.4%","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±3.4","±5.5","±10.3","±12.9","±6.8","","","±4.0","±8.4","±24.6","±15.9","**","±8.3","±8.0","±4.8","±4.0","±3.0","±2.5","±6.2","","±14.8","±5.5","","±8.7","±6.3","±3.8","±4.1","","±2.2","±5.7","±11.3","±32.6","","±2.0","±5.9","±13.5","±49.3","","±3.5","±5.4","±10.2","±16.8","","±13.9","±6.7","±3.0","±0.7","","(X)","","±3.0","±4.9","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","7,885","4,179","954","1,047","2,178","","","4,812","828","134","727","0","1,018","366","3,775","2,321","6,297","5,014","753","","357","1,239","","1,830","2,088","1,577","2,390","","3,706","2,927","1,162","90","","4,013","2,696","1,121","55","","2,606","3,390","1,570","319","","496","2,287","3,650","1,452","","8,604","","3,684","4,201","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±762","±622","±300","±289","±485","","","±592","±270","±106","±243","±33","±299","±227","±485","±435","±748","±686","±185","","±179","±327","","±370","±393","±336","±486","","±531","±588","±317","±74","","±549","±536","±310","±57","","±406","±615","±395","±166","","±167","±393","±526","±397","","±2,007","","±427","±606","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","11.3%","17.4%","15.6%","24.7%","14.7%","","","9.9%","4.2%","0.0%","23.8%","-","20.2%","0.0%","15.3%","4.4%","7.6%","7.4%","6.1%","","36.7%","8.7%","","24.5%","17.3%","1.7%","2.2%","","4.3%","11.4%","34.1%","0.0%","","4.1%","12.1%","35.3%","0.0%","","5.0%","9.8%","24.8%","11.0%","","14.1%","26.1%","5.9%","0.5%","","(X)","","5.3%","16.5%","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±4.0","±7.1","±12.0","±15.2","±8.0","","","±4.8","±4.9","±27.9","±19.8","**","±11.8","±11.6","±7.0","±4.3","±2.9","±3.1","±7.3","","±23.2","±6.5","","±11.6","±9.2","±1.7","±2.4","","±2.8","±6.0","±16.3","±36.7","","±2.6","±6.5","±16.6","±47.1","","±3.6","±5.3","±12.7","±11.2","","±13.7","±10.3","±3.2","±0.9","","(X)","","±3.2","±6.5","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female householder, no spouse present","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","3,210","2,183","228","511","1,444","","","1,882","633","54","118","0","499","24","2,024","422","2,382","1,642","189","","374","490","","878","636","890","806","","1,027","1,720","365","98","","1,186","1,755","223","46","","1,643","1,198","215","154","","509","1,698","763","240","","10,693","","867","2,343","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±503","±454","±123","±225","±397","","","±324","±245","±70","±96","±33","±242","±38","±385","±142","±414","±345","±97","","±201","±152","","±291","±202","±248","±299","","±327","±374","±199","±102","","±340","±408","±145","±76","","±331","±324","±159","±113","","±208","±370","±272","±140","","±2,005","","±252","±461","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","28.7%","38.2%","69.7%","55.6%","27.0%","","","24.8%","26.5%","79.6%","76.3%","-","30.9%","0.0%","30.7%","10.0%","20.9%","8.8%","11.1%","","11.2%","22.0%","","37.8%","34.4%","27.1%","16.1%","","8.7%","37.2%","36.7%","60.2%","","7.5%","37.4%","58.7%","100.0%","","21.1%","41.7%","7.4%","38.3%","","77.6%","27.7%","7.3%","0.0%","","(X)","","13.4%","34.4%","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±7.6","±10.1","±26.7","±21.7","±12.4","","","±8.4","±20.9","±45.4","±30.2","**","±22.1","±71.2","±8.1","±13.1","±8.3","±5.6","±17.9","","±17.4","±14.4","","±16.4","±13.5","±12.1","±14.9","","±7.8","±12.2","±21.0","±52.1","","±6.7","±11.7","±33.1","±51.5","","±8.8","±15.2","±12.9","±40.1","","±16.7","±10.2","±8.9","±17.0","","(X)","","±10.2","±9.9","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"ZCTA5 78754","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    All families","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","6,051","3,359","987","916","1,456","","","3,227","916","23","948","21","802","114","2,407","1,792","5,258","4,083","1,011","","406","712","","675","1,262","1,273","2,841","","2,692","2,482","792","85","","2,997","2,329","640","85","","2,071","2,390","1,380","210","","309","1,490","3,155","1,097","","7,892","","3,923","2,128","","107","615","815","1,296","1,430","2,503","3,403","4,318"
"            Margin of Error","±700","±534","±409","±234","±326","","","±395","±410","±45","±212","±33","±543","±87","±626","±259","±666","±714","±559","","±184","±204","","±246","±353","±348","±587","","±638","±526","±213","±106","","±629","±515","±211","±106","","±414","±405","±550","±141","","±159","±406","±526","±528","","±3,264","","±665","±361","","±119","±207","±217","±353","±354","±456","±474","±665"
"        Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","9.3%","9.6%","6.4%","20.7%","4.8%","","","9.9%","9.6%","0.0%","14.1%","0.0%","2.4%","0.0%","10.9%","4.2%","6.8%","3.8%","15.7%","","29.3%","28.7%","","39.9%","18.1%","2.6%","1.1%","","8.8%","5.2%","22.0%","22.4%","","9.0%","7.4%","15.5%","22.4%","","7.5%","8.9%","12.6%","9.0%","","51.5%","20.5%","3.0%","0.0%","","(X)","","4.5%","18.1%","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±3.6","±5.3","±8.3","±11.2","±7.3","","","±4.6","±13.2","±72.8","±11.8","±76.1","±4.5","±31.4","±6.1","±4.4","±3.9","±2.6","±14.3","","±24.8","±15.6","","±19.9","±11.8","±4.2","±1.3","","±6.2","±5.9","±13.0","±47.7","","±5.8","±7.0","±15.4","±47.7","","±5.9","±6.4","±9.1","±15.5","","±30.9","±11.6","±3.3","±4.0","","(X)","","±2.3","±9.5","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","4,438","2,371","637","706","1,028","","","2,301","525","0","814","21","702","75","1,759","1,334","3,685","3,079","903","","260","575","","509","974","703","2,252","","2,067","1,685","601","85","","2,265","1,564","524","85","","1,131","1,874","1,241","192","","290","806","2,403","939","","6,268","","3,165","1,273","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±774","±465","±361","±194","±304","","","±391","±327","±26","±190","±33","±537","±78","±616","±241","±735","±700","±543","","±159","±178","","±204","±321","±220","±619","","±612","±418","±194","±106","","±638","±394","±198","±106","","±262","±404","±591","±129","","±155","±221","±520","±550","","±2,916","","±673","±328","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","8.2%","7.5%","9.9%","16.3%","0.0%","","","9.1%","0.0%","-","16.5%","0.0%","2.7%","0.0%","10.7%","3.0%","4.3%","3.7%","17.6%","","45.8%","35.5%","","26.9%","19.9%","0.0%","1.4%","","8.9%","3.6%","16.5%","22.4%","","8.1%","3.8%","18.9%","22.4%","","5.7%","9.6%","8.0%","9.9%","","54.8%","25.2%","0.0%","0.0%","","(X)","","4.2%","17.9%","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±4.0","±5.0","±12.5","±14.4","±4.3","","","±5.7","±8.2","**","±13.7","±76.1","±5.3","±40.3","±7.9","±3.5","±3.3","±3.5","±16.6","","±32.5","±18.7","","±21.2","±14.4","±6.2","±1.7","","±6.8","±5.1","±16.4","±47.7","","±6.2","±5.3","±18.7","±47.7","","±5.8","±7.2","±8.7","±17.0","","±31.8","±14.4","±1.9","±4.7","","(X)","","±3.2","±11.0","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female householder, no spouse present","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","1,227","814","350","155","309","","","726","324","0","102","0","75","0","499","320","1,198","703","97","","146","126","","132","265","415","415","","413","678","136","0","","508","658","61","0","","644","426","139","18","","19","511","562","135","","10,844","","565","662","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±389","±357","±273","±120","±183","","","±308","±235","±26","±67","±26","±89","±26","±247","±172","±392","±313","±66","","±104","±84","","±117","±171","±279","±188","","±185","±348","±107","±26","","±210","±356","±65","±26","","±326","±223","±112","±31","","±30","±303","±240","±124","","±6,256","","±235","±287","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","16.2%","17.8%","0.0%","48.4%","22.7%","","","15.3%","27.2%","-","0.0%","-","0.0%","-","15.0%","11.3%","16.6%","6.0%","0.0%","","0.0%","0.0%","","100.0%","12.8%","8.0%","0.0%","","13.1%","10.3%","55.1%","-","","17.1%","17.0%","0.0%","-","","14.0%","8.0%","54.0%","0.0%","","0.0%","20.2%","17.1%","0.0%","","(X)","","7.4%","23.7%","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
